Character,script,ep_number,Book,total_number
,"She jumps forward, and punches to the left, leaving a trail of fire. Performing a roundhouse kick, she sends a small fire arc toward the White Lotus members, making them slightly back away. She subsequently extends a small portion of the earth from the ground, causing the members to fall back even more. Sending another fire blast toward them, she sets the corner of the White Lotus leader's coat on fire. The leader immediately extinguishes the flames by retracting water from a small puddle on the ground. The camera pans up to show the impressed and surprised looks on the faces of the White Lotus members. Shift to a frontal view of young Korra, as she displays waterbending by raising a trail of water to her left. She proceeds to stomp the ground, levitating a chunk of earth, and slamming it away to her right. Finally, she bends a fire stream at the camera, blocking the entire camera's view of the scene. When the fire dissipates, a seventeen-year-old Korra, who is wearing red armor, emerges from it, and quickly kicks two fire blasts toward a man wearing the same armor. The man raises his arms in protection, but he is still sent flying and crashes to the ground. As Korra lands, two men, wearing the same armor as well, simultaneously shoot fire streams at her. The camera moves back to reveal that five people are observing the fight. The scene cuts to Korra as she is engulfed in a ball of flames and removed from view, but she dissipates the fire by moving her hands in a circular motion. As she takes on a fighting stance again, one of the men charges her, shooting three fire blasts at the Avatar, but she dodges the first one, dissipates the second with a grunt, dodges the third, and rushes forward. When the man jumps up and sends two fire arcs in her direction, Korra tumbles underneath the flames, and extends her leg, throwing him off balance. He flips over several times and crashes to the ground, but manages to stand up right away. Korra, now in between the two men, catches the fire stream of the man in front of her head on, while she also kicks back the guy that was charging her from behind, knocking him down. Retaliating with fire blasts of her own, she manages to knock down the firebender. Quickly turning back and forth to defend herself against incoming fire blasts from both men, she powers up her own attack and fires it at the man in front of her, sending him flying all the way up a nearby triangular roof of a small building near the training grounds, where he slides down unconscious, leaving a trail of smoke. The scene changes to the five spectators, who turn out to be an elderly Katara and four members of the Order of the White Lotus, one dressed in red.",1,1,1
Katara,[Impressed.] She's strong.,1,1,1
White Lotus leader,[Dismayed.] She lacks restraint.,1,1,1
,"Scene changes to the last firebender charging Korra while showering her with a fire stream. She runs toward the individual, smiling confidently. The camera moves back to show how Korra runs straight into the fire blast, parts it, and pushes the man's arms apart, effectively stopping his bending. She uses him as a step-up to propel herself into the air. From her elevated position, she kicks a fire arc in the bender's direction, and proceeds to shower him with a powerful fire stream as she descends. The man tries to block, but is thrown backward, where he sags down and slowly falls on his back with a light groan in defeat, smoking lightly.",1,1,1
Korra,"[Raising her hands in triumph.] Woohoo! [Cut to a shot of the unfazed spectators. An overview shot shows Korra running up to them.] Hey, why all the doom and gloom, people? [Frontal shot as she removes her helmet. One of her opponents recovers slowly in the background.] We should be celebrating! [Confidently raises three fingers.] Three elements down, [Holds one finger up.] one to go!",1,1,1
Firebending master,"[On a serious tone.] You're getting ahead of yourself as usual, Korra. We haven't decided if you passed your firebending test yet.",1,1,1
White Lotus leader,"Ever since you were a little girl, you've excelled at the physical side of bending, but completely ignored the spiritual side. [Side shot of a bored Korra.] The Avatar must master both.",1,1,1
Korra,"[Slightly bowing her head.] I haven't ignored it, it just doesn't come as easy to me. [More upbeat.] But that's why I should start training with Tenzin immediately. [Stretching out arm to emphasize her statement.] He's Mister Spiritual.",1,1,1
,"Cut to an aerial shot of Korra and the elders. One of the White Lotus members slightly moves forward to address Katara, who is standing at the end of the line-up.",1,1,1
White Lotus leader,"Do you believe she's ready, Master Katara?",1,1,1
Katara,"[Frontal view of the elders; Katara smiles.] Yes. If anyone can teach her what she needs to learn, it's Tenzin.",1,1,1
White Lotus leader,"Very well, Korra. It's time for you to begin your airbending training.",1,1,1
Korra,"[Jumps up, turning around her axis, in happiness and excitement.] Yes! Finally! [Realizing the elders are watching her, some of them with a dismayed expression, her look changes to a serious one.] I mean, [Clears throat and respectfully clasps her hands together and bows.] thank you all for believing in me.",1,1,1
,"Smiling innocently, she slowly starts walking away, still eying the elders. Unable to contain her excitement any longer, she breaks into a run and leaves the training grounds. Cut to a brief close-up of Katara smiling, before cutting back to Korra dashing off some stairs toward the stables, and opens the gate.",1,1,1
Korra,"[Excitedly.] Naga, you should have seen it! [A curled-up polar bear dog pricks her ears upon hearing her name, waggles her tail, and gets up to meet her master.] I kicked some firebender butt, and I passed! [Korra cuddles the polar bear dog by the head.] Tenzin will be here in a few days.",1,1,1
,"Korra scratches Naga's head. She laughs gleefully when Naga licks her face in return. Cut to an aerial shot of a compound at the Southern Water Tribe, tall, thick walls and a huge, richly decorated gate now surrounding it. The scene slowly moves to inside the walls, where Korra is riding Naga toward the gate. A White Lotus sentry walks toward the edge of his guard tower and looks down on Korra.",1,1,1
Korra,"[Looking up.] Just taking Naga out for a stroll. [Cut to the guard who looks unsure, before switching back to Korra, who has crossed her arms in annoyance at the guard's reluctance to open the gate; irritably.] Don't worry, we're not going far.",1,1,1
,"Complying, the guard walks back. The sun, now peering through the growing crack formed by the opening gates, moves over a broadly smiling Korra. A back shot of Korra leading Naga out the gates, changes to an overview shot of two White Lotus members eyeing Korra from atop a nearby mountain as she rides Naga over the large, snow-covered plains in the background. Cut to a side shot of Korra riding Naga.",1,1,1
Korra,"Naga, go! [Naga picks up speed.] That a girl. Go! Go! Go!",1,1,1
,"The camera pans out, as the polar bear dog starts running faster and faster. Switch to a frontal view of Korra moving up and down, swaying along with Naga's movements. Cut to an aerial shot of the Southern Water Tribe, as a flying bison heads toward it, losing altitude. Switch to a shot from behind Korra and Katara, who are watching the bison's arrival.",1,1,1
Ikki,"[Talking very fast; excitedly.] Are we there yet? Are we there yet? Are we there yet? [Camera pans up to show the belly of the flying bison as it starts it descent.] It looks like we're there. [Korra runs up looking very excited.] I know it, this is very familiar! Are we here yet? Are we here yet? Ooh, please tell me we're here!",1,1,1
Tenzin,"[As he directs his flying bison, Oogi, to land; sighing in relief and annoyance.] Yes, Ikki, [Frontal shot of Tenzin and his family atop the bison. Meelo is perched on his shoulders, gnawing on his head.] as I've been telling you for the last fifteen minutes, we are, [Relieved.] finally, here.",1,1,1
,"Cut to an aerial shot as Ikki and Jinora excitedly jump off the bison, riding off its tail on air scooters. Tenzin descends from his bison, as Katara walks up to him.",1,1,1
Tenzin,"Hello, Mother. [Tenzin holds his right arm in front of his chest as a way of greeting, with Meelo still on his shoulders, now pulling his father's ears. His daughters pull up on both his sides, with Ikki jerking his arm; solemnly.] I can't tell you how happy I am to see you. [Pleading in desperation.] Please, help me.",1,1,1
,Katara laughs warmly as Tenzin bows to allow her to take Meelo off his shoulders and into her arms.,1,1,1
Meelo,"[Frantically waving his limbs.] Unhand me, strange woman!",1,1,1
Tenzin,"That's your grandmother, Meelo.",1,1,1
,"Meelo nimbly pushes off on Katara's hand, who looks surprised, and somersaults above her head, landing on the ground behind her. He quickly dashes out from behind her, while Katara's expression changes from utter surprise to a loving smile.",1,1,1
Katara,[Smiling.] It's so good to see all of you.,1,1,1
Jinora,"[Slightly in awe.] Gran Gran, I've been reading all about your old adventures. I've been dying to ask you: What happened to Zuko's mom?",1,1,1
Katara,"Well, Jinora, it's an incredible tale--",1,1,1
,"To her surprise, she is interrupted by Ikki, who jumps right in between Katara and Jinora.",1,1,1
Ikki,"[Talking really fast, while jumping around.] Gran Gran, you look old. How old are you? And why is it so cold in the South Pole? [Jumping up and down clapping her hands, Jinora stands solemnly beside her, disappointed and annoyed.] Can we make a campfire, and all huddle around it, and tell scary stories, and make snowmen? [Frontal view of Katara, who appears unsure of how to respond to Ikki's enthusiasm.] And then can you make the snowmen move with waterbending and chase us? Wouldn't that be [Switch positions to show how Ikki is still jumping over-excitedly with Jinora looking embarrassed beside her.] fuuun? Huh? [Jinora lowers her head in shame, while Tenzin notices Pema slowly sliding down the bison's tail, and walks over to her.] Wouldn't it?",1,1,1
Tenzin,"[Catching Pema's hands as she reaches the ground.] Pema, let me help you. Careful now, careful.",1,1,1
,"Tenzin helps his pregnant wife walk the first few steps, until she retracts her hand.",1,1,1
Pema,"Stop doting on me. I'm not helpless, I'm just pregnant.",1,1,1
,"Both Tenzin and Pema lay their hands on her protruding belly. The camera moves back to show how Pema descends the last few steps off the bison's tail. Katara walks up to her, and gives her a hug.",1,1,1
Katara,"The baby's strong. [Cut to Pema's stomach, as Katara keeps her hand on it. Camera pans above to show a smiling Pema.] I see another airbender in your future.",1,1,1
,"Suddenly, Pema's face becomes slightly unhappy. Cut to a side shot as she starts talking to Katara.",1,1,1
Pema,"[Slightly irritably.] All I want is one child like me, [Gleefully thinking about the prospect, smiling broadly.] a nice non-bender, who doesn't [Slightly gloomy again. Tenzin innocently starts pulling his beard, while Katara smiles comprehensively.] blast wind in my face every five seconds.",1,1,1
Meelo,"[Pema darts an irritated look at Meelo as he calls her attention.] Mommy, look, [Jinora rapidly darts out of the scene, Ikki is making a snowman in the background, and Meelo has covered himself completely in snow, before suddenly blasting it off himself using airbending; excitedly.] I'm a snowbender!",1,1,1
Pema,"[Looking dismayed, her head covered in snow. Shaking her head rapidly to remove it, leaving her hair in a mess. Pointing at her husband; slightly depressed tone.] Were Tenzin and his siblings this crazy when they were kids?",1,1,1
Katara,"[Calmly, with a joyous undertone.] Kya and Bumi certainly were, but [Putting her hand to her chin.] Tenzin has always been ... [Gesturing at Tenzin.] rather serious.",1,1,1
Tenzin,"[Slightly pouting.] Mother, please.",1,1,1
,"Katara smiles broadly at her son. Korra stands a few meters behind her, calmly waiting with her hands behind her back. Tenzin notices her.",1,1,1
Tenzin,"Korra? [Close-up of an excited Korra upon hearing Tenzin say her name. She runs up to him. Cut to a side shot as she pulls up in front of him. Tenzin puts his arms over her shoulders, his children running past them.] Look at you, so big and strong. [Close-up of Tenzin; impressed.] You've grown into quite the young Avatar.",1,1,1
Korra,"[Back shot of Tenzin and Pema.] Master Tenzin, I'm so glad you're here. I can't wait to get started.",1,1,1
Tenzin,"[Close-up.] Yes, well ... [He sighs.]",1,1,1
Pema,[Cut back to the back shot. Korra looks inquiringly at Pema.] You're going to have to tell her sooner or later.,1,1,1
Korra,[Sadly.] Tell me what?,1,1,1
Katara,"[Close-up; sadly.] You're not staying, are you?",1,1,1
Tenzin,"[Cut to Tenzin, who sighs.] I'm afraid not. We're only visiting for the night. Then I have to return to Republic City.",1,1,1
Korra,"[Close-up of her face; sad and disappointed.] But ... no, you're supposed to move here. [Not understanding.] You're supposed to teach me.",1,1,1
Tenzin,"[Side-view of the foursome with the setting sun in the background.] I'm sorry, Korra. Your airbending training is going to have to wait.",1,1,1
,"Fade to black, before the camera changes to an aerial shot of the Southern Water Tribe at night.",1,1,1
Korra,"[Voice-over.] So, how long until you're ready to teach me airbending? [Cut to inside one of the houses where Korra, Tenzin, and three White Lotus members are sitting at a table.] A week? A month?",1,1,1
Tenzin,[Close-up.] It could be much longer.,1,1,1
Korra,[Disappointed.] I don't understand. Why are you making me wait?,1,1,1
Tenzin,"[Close-up.] I have a responsibility to Republic City. I am one of its leaders, and the situation there is very unstable right now.",1,1,1
Korra,"[Cut to Korra.] But you also have a responsibility to teach me. [Defiant.] Believe me, I'd be happy to find another airbending master, but you're the only one. [Sadly.] We're stuck with each other.",1,1,1
Tenzin,I wish there were another way.,1,1,1
Korra,"[Excitedly.] Wait, there is! If you can't stay here, then I'll go back to Republic City with you! It's perfect!",1,1,1
White Lotus leader,"Absolutely not! [Bangs hand on the table, shaking the contents on the table.] The city is far too dangerous. Avatar Aang tasked us with keeping you safe while you mastered the four elements.",1,1,1
Korra,"[Cut back to Korra; defiantly.] I get that, but I don't think keeping me locked up in this compound like a prisoner is what he had in mind.",1,1,1
Tenzin,"[Camera zooms back to a shot of the three.] I know this is difficult to accept, but it's not the right time for you to come to the city.",1,1,1
Korra,[Dismissive.] Whatever. [She abruptly gets up and leaves the room. The door slams shut as the White Lotus leader and Tenzin sigh.],1,1,1
,"Scene changes to the next day on the courtyard, where Tenzin, Ikki, Jinora, Meelo, and Pema are sitting on the sky bison, ready to take off. Everyone except Tenzin is waving to Katara, who waves back.",1,1,1
Ikki,"Goodbye, Gran Gran!",1,1,1
Tenzin,"[He tugs the reins.] Oogi, yip-yip!",1,1,1
,"The bison grunts and pushes off. Katara follows its ascent, wiping a tear from her left eye. Cut to a far-off shot of a cliff where someone is sitting at the rim. The camera slowly zooms in on it, and suddenly changes to a close-up shot of Korra perched atop Naga as Oogi flies past them. They both follow the bison's path with their gazes, Naga whimpering softly. Switch to a back shot of the duo as the camera zooms out, revealing that they are being watched by a member of the White Lotus. Cut to a close-up of Korra's sad expression. As she lifts her eyes toward the horizon where the bison flew toward, her look suddenly becomes serious and determined. Cut to an aerial shot of the lit stables at night. The slowly zooming in scene changes to a frontal view of Naga in her shed as she stands up when Korra comes running into the scene. Side-view of Korra, who takes Naga's saddle that hangs on a pole, and starts to saddle up her mount. As she is busy tightening the straps of the saddle, she is startled by a voice behind her.",1,1,1
Katara,"Nice night for an escape, isn't it?",1,1,1
,"Korra turns while standing up to see Katara, as the view switches to reveal Katara standing at the stable's entrance.",1,1,1
Korra,[Cut to Korra from below; saddened.] I have to leave. I have to find my own path as the Avatar.,1,1,1
Katara,"[Cut to a close-up of a contently smiling Katara. She briefly closes her eyes while tilting her head down. Looking forward again, speaking with an understanding tone.] I know you do.",1,1,1
,"Cut back to Korra, her looks changing from a sad to a grateful one. She tilts her head and closes her eyes as a silent thank you. The point of view changes to a back shot of Korra, showing Katara.",1,1,1
Katara,"Aang's time has passed. [Shaking her head from side to side.] My brother and many of my friends are gone. [Cut to a side shot of Katara, who smiles.] It's time for you and your generation to take over the responsibility of keeping peace and balance in the world. [Cut to a wider side shot of Korra and Katara, as the latter moves forward and places her right hand on the young Avatar's shoulder.] And I think you're going to be a great Avatar.",1,1,1
Korra,[Hugs Katara.] Thank you.,1,1,1
Katara,"[Close-up of Katara's face, still smiling with her eyes closed.] Goodbye, Korra.",1,1,1
,"Cut to a far-off shot of the Southern Water Tribe. Suddenly, a good distance away from the compound, in the front of the scene, the snow trembles and is pushed aside. Korra and Naga emerge from the tunnel. Korra waits for Naga to shake off the snow of her pelt before mounting her and riding away. Cut to an aerial shot of Korra hugging both her parents at once outside of their house. Light emanating from the open door of the house casts a long shadow over the snow.",1,1,1
Korra,"Mom, Dad. [Cut to the three of them, Korra's back to the camera, as they break up the hug. Her parents look sad.] I'll miss you.",1,1,1
Senna,[Her voice on the verge of breaking.] We love you so much.,1,1,1
,"Korra runs up to Naga, turning away from her sad-looking parents. She climbs on the polar bear dog, the black silhouettes of her parents hugging each other in the background as they watch their daughter. She casts one last look at her parents, and leads Naga away, riding in the opposite direction. Cut to footage of an engine-powered ship sailing in the sea. Cut to a Satomobile in the tonnage. Camera pans to the right, revealing Naga and Korra lying behind some crates. Switch to a closer shot. Naga's sleeping, with Korra resting against her flank, her arms held behind her back, looking content. Cut to a frontal shot of the pleased girl. Cut to an aerial shot of the ship sailing away from the Southern Water Tribe, before cutting to a wide side shot of the ship sailing in the distance the next morning. Switch to Naga and Korra, both asleep in the tonnage. Hearing metal-like sounds, Korra wakes up, glances around, and rubs her eyes.",1,1,1
Korra,"[Pushing against Naga's paw to wake her up; excitedly.] Naga, we're here!",1,1,1
,"Korra runs off camera. Scene switches to the ship's metal loading doors opening. Cut to a frontal shot of an excited Korra hiding behind some crates, shading her eyes against the bright sunlight, now peering in the dark room. She glances briefly forward and runs back toward Naga. Switch to dock workers unloading crates of the ship. Suddenly, Naga runs past them, Korra mounted on her, much to their surprise. Cut to a frontal shot as the polar bear dog dashes out of the tonnage, knocking over a stunned dock worker, who grunts as he falls down.",1,1,1
Korra,[Joyously waving at the knocked over dock worker.] Thanks for the ride!,1,1,1
,"Cut to an overview shot of the dock, as Korra rides away on Naga toward a large suspension bridge leading toward the city. Switch to a closer shot as she pulls up nearly at the base of the bridge. Two airships are floating above. The camera pans to the left, revealing the entire bridge and the skyline of Republic City with many buildings and skyscrapers.",1,1,1
Korra,"[Voice-over.] Wow, look at this place. [Cut to the vehicles on the bridge, honking as they are in a traffic jam.] I've never seen so many Satomobiles!",1,1,1
,"Cut to Korra riding toward the overview at the water, Aang's statue in front of her. Shift to a close-up of the statue. The zooming in close-up switches to a zooming in close-up of Korra, who is staring at it in awe. Cut back to a wider back shot of the new Avatar as the scene pans to the left, showing that the statue is not far from Air Temple Island.",1,1,1
Korra,"Air Temple Island. That's where Tenzin lives. [Cut to frontal shot of Korra and Naga, as the former pets the polar bear dog's head.] You ready for a little swim, girl? [Naga puts her nose in the air, sniffing something before quickly running to its source.] Okay, okay! Food first, then air temple!",1,1,1
,"Cut to a shot of airships above, as the camera pans below to an overview shot of a road with riding Satomobiles. A Satomobile honks and suddenly swerves to the left, as Korra and Naga come running into the camera in the middle of the road.",1,1,1
Korra,"Watch out, Naga! Look out!",1,1,1
,"Cut to a side shot as the polar bear dog only narrowly avoids a collision with a rapidly incoming truck. The truck brakes, and slides horizontally over the road, slamming into another Satomobile. As Naga runs on, Korra looks back at the damage they inflicted.",1,1,1
Pedestrian,Watch where you're going!,1,1,1
Korra,"[Side shot as Naga runs past a lot of pedestrians.] Whoops, sorry about that. Excuse us. Coming through. Heads up. Eh, sorry, we're new in town.",1,1,1
,"Naga comes to an open square and slows down, bending over to smell the ground, in order to pinpoint the exact location of the smell. Naga follows her nose toward a small food stall, its wall comprised of an orange cloth. The polar bear dog goes to the side of the stall and sticks her head through the curtains. Switch to a shot from inside the shop as first Naga's sniffing nose and her entire head appear. The food stall appears to be selling different kinds of meat. Korra sticks her head through the curtain as well. Naga opens her mouth to start devouring the food, but is halted by a stern command from Korra.",1,1,1
Korra,"[Sternly, crossing her arms.] Naga, wait. [Naga's eyes open wide and slant down in disappointment. She lies down, whimpering softly, as Korra leans back out of the curtains. Switch to a broader shot, showing how Korra slides off Naga and walks to the front of the stall. Naga's tail waggles excitedly. Cut to a shot from inside the stall, showing Korra picking up a meat stick, and the proprietor eyeing her in doubt.] We'll take one of everything, please.",1,1,1
Shopkeeper,[Harshly.] That will be twenty yuans.,1,1,1
Korra,Uh ... I don't have any money?,1,1,1
Shopkeeper,"[Infuriated, snatching the meat stick out of Korra's hand. Korra puts her hands in a karate-like position and makes an angry face.] Then what good are you to me?",1,1,1
Korra,"[Cut to a broader shot. Dejected, Korra walks up to a whimpering Naga and pets the neck.] Don't worry, girl. [Naga starts walking, her head down in disappointment. Korra tries to cheer her up.] The city's huge. I bet we could find a place to rustle up something to eat.",1,1,1
,"Korra keeps her hand on Naga's neck, looking down upon her pet, who walks on slowly, keeping her head down in sadness. Scene changes to Korra frying three fish on a stick with her firebending, as Naga searches the pond for more fish. As Korra takes the middle fish on a stick, Naga manages to catch a fish herself. The camera zooms out, revealing that Korra is fishing in the pond of a park. Shot cuts back to a broadly grinning Korra, who fries the fish again before blowing on it. A man appears in the bush next to her, eying her with a crazed grin on his face. As Korra happily bites in the fish, she notices the man to her left and gasps. Switch to a frontal view as the man emerges from the bushes.",1,1,1
Gommu,"Uh, say, think I can I get one of them tasty-smelling [The man flaps his elbows rapidly up and down, while keeping his hands on his shirt.] fishies?",1,1,1
Korra,"[Uncertainly.] Oh, uh, yeah, sure.",1,1,1
,"He waggles up to Korra with big, weird steps, snatches a fish on a stick, and squats down, ferociously devouring the fish while smacking loudly.",1,1,1
Korra,"[Awkwardly.] So, do you ... live in [Points at the bush.] that bush?",1,1,1
Gommu,"Yes, presently that is what I do call home. Took me a while to procure a bush that beauteous. [The bush shines.] This park is quite popular with all the vagabonds.",1,1,1
Korra,"[Cut to Korra; unsure.] So there are a lot of you out here? I thought everyone in this city was ""living it up"".",1,1,1
Gommu,"[Chuckles.] Hey, you've got a lot to learn, newcomer. [Spreading his arms in a welcoming gesture.] Welcome to Republic City.",1,1,1
,"Korra arcs her eyebrows and gazes at Gommu, slightly unnerved. Suddenly, they hear the voice of a guard from a bridge over the pond nearby.",1,1,1
Guard,"[Blowing a whistle.] Hey, you! [Korra looks at the source of the sound in shock.] Stop! You can't fish here!",1,1,1
,"As the guard runs toward Korra and Gommu, the vagabond jumps up and runs toward his bush.",1,1,1
Gommu,"[Looking over his shoulder to Korra, who has not moved.] You best skedaddle!",1,1,1
,"Gommu dives in his bush, head first while Korra whistles on her fingers. Naga comes running toward her, and Korra runs a few steps along with the animal before hoisting herself on Naga's back, and rides away. The guard runs after her, blowing his whistle and waving his truncheon. Cut to a frontal shot of the guard as he reaches the spot where Korra and the vagabond were sitting moments earlier. He halts his pursuit, resting his hands on his knees, panting heavily. Gommu emerges from the bushes behind him and waves after Korra. Cut to a shot of Korra and Naga walking around the park. One of the passersby eyes Naga with interest.",1,1,1
Protester,"[Standing in front of a poster of Amon, talking through a megaphone.] Are you tired of living under the tyranny of benders? Then join the Equalists! [Switch to an overview shot of the protester, showing that twelve people have gathered to listen to him.] For too long, the bending elite of this city [Korra and Naga stroll into view and halt to listen.] have forced nonbenders to live as lower class citizens. Join Amon, and together we will tear down the bending establishment.",1,1,1
Korra,[Surprised.] What are you talking about? [Proudly.] Bending is the coolest thing in the world.,1,1,1
Protester,[Unimpressed.] Oh yeah? Let me guess: you're a bender.,1,1,1
Korra,"[Arrogantly.] Yeah, I am.",1,1,1
Protester,"[Provokingly.] Then I bet you'd just love to knock me off this platform with some waterbending, huh?",1,1,1
Korra,[Crossing her arms; irritated.] I'm seriously thinking about it.,1,1,1
Protester,[Addressing his listeners.] This is what's wrong with this city! Benders like this girl only use their power to oppress us!,1,1,1
,"The protester angrily glares at Korra, his spectators turning to her as well.",1,1,1
Crowd,[Raising their hands in anger.] Yeah! Get out of here!,1,1,1
Korra,[Dismayed.] What? I'm not oppressing anyone! [Pointing at the crowd.] You're ... you're oppressing yourselves!,1,1,1
Protester,[Mockingly.] That didn't even make sense.,1,1,1
,"Under the protesting scream of the crowd, Korra turns Naga and they walk away. Scene changes to an overview shot of Korra walking alongside Naga on a street, the view panning up as they go. Cut to a closer shot as she reaches a young man and an elderly lady sitting in front of a shop, talking to each other.",1,1,1
Korra,"Excuse me, I think I'm lost. [Closer shot of Korra and the elderly woman who looks up to her.] How do I get to Air Temple Island from here?",1,1,1
Old woman,[Points to down the street.] Just head down this street.,1,1,1
,"The scene changes to a shot of the street Korra needs to walk down as the old lady directs her there. At that moment, a red Satomobile turns down the street and heads toward the shops.",1,1,1
Old woman,"[Scared.] You should get moving, young lady. [Whispering as she gets up.] It isn't safe.",1,1,1
,"Cut to the Satomobile that pulls up and stops. The front is ornamented with a golden plaque of a lion turtle. As it comes to a complete stop, three people get out, and approach a phonograph vendor who is cleaning one of his products.",1,1,1
Viper,"[Sarcastically, as the phonograph vendor, scared, turns at him.] Mr. Chung, please tell me that you have my money, [Close-up of the three shady characters all smiling slyly.] or else I can't guarantee I can protect your fine establishment. [The man turns toward his friend, who lights a flame in his left hand, grinning.]",1,1,1
Chung,"[Cut to Chung; with a trembling voice.] I'm sorry, business has been slow. Please, [Offers the phonograph he was cleaning.] take one of my phonographs.",1,1,1
,"Without even taking his hands out of his pockets, the firebender effortlessly smacks the object out of the vendor's hands with a half moon spinning fire kick, reducing the phonograph to a burning pile of rubbish. Chung jumps back to avoid the blast, falling to the ground.",1,1,1
Viper,"[Sarcastically shaking his head.] My friend here is not a music lover. [Makes the money sign with his right hand.] Give me the money, or else -",1,1,1
Korra,"[Interrupting the gangster.] Or else what, hoodlum?",1,1,1
,"The point of view turns along with the gangsters to reveal Korra standing confidently behind them, her hands on her hips. Cut to an aerial shot, and back to the three gangsters, who eye each questioningly for a second before bursting out in laughter.",1,1,1
Viper,"[Sarcastically.] Since you're obviously fresh off the boat, let me explain a couple things. [Cut to a view from inside the shop of Mr. Chung, who is huddling on the floor. Cut to the young man and elderly woman in another store on the other side of the road who are watching what is happening; they look at each other astonished.] You're in Triple Threat Triad territory, and we're about to put you [Points at Korra.], in the hospital.",1,1,1
Korra,"[Voice-over, angering the gangsters.] You're the only ones who are gonna need a hospital [Cut to a confidently looking Korra, who smashes her right fist in her left palm.] and, for your sake, I hope there's one nearby.",1,1,1
,"The gangsters adopt a confused look. Cut to Korra, who rubs her right fist into her left palm with a wicked look.",1,1,1
Viper,"[Cut to the gangsters, whispering threateningly.] Who do you think you are?",1,1,1
Korra,[Close-up as she keeps rubbing her fist and grins defiantly.] Why don't you come and find out?,1,1,1
,"Close-up of Viper's eyes as they twitch enraged. The scene moves back as he suddenly bends a water bullet from an unseen water skin from under his coat. Korra stops the water easily with one hand and sends it right back at the gangster, freezing the water over his head. His balance lost, the man stumbles forward toward Korra, who hits him against the head with a back spinning kick, due to which he slams head first against the golden ornament on the Satomobile. The ice around his head shatters as he sags down. Two Toed Ping recoils, as a ""that must have hurt""-look dons his face. Point of view changes to a shot from alongside the Satomobile, as the earthbender gangster, enraged by what happened to his friend, charges Korra by jumping up. However, before he could land and earthbend, she extends the portion of earth where he was going to land on, catapulting him high into the air. Cut to the elderly woman and the young man at the fruit stand, their faces squeezed tightly against each other and their gaze following the flying earthbender.",1,1,1
Old woman,[Surprised.] What just happened?,1,1,1
Young man,[Surprised.] Did she just earthbend?,1,1,1
,"The two lower their gaze as the scene switches to the earthbender falling on a wire suspended from one building to the other. From the wire, the man is catapulted again a wooden advertising board, falls down on the pentice of a shop, and is thrown into a tapestry, which rips under his weight. The man falls down onto a shop display before flopping on the ground where he lies still. Seeing two of his allies defeated, Two Toed Ping aggressively bends a large fire stream at Korra. The fire fills the entire camera, but is soon parted by a cockily grinning Korra. She jumps forward, deflecting the man's fire by holding two small flames in her palms. As she reaches the man, she grabs his hands. The man screams in fright.",1,1,1
Old woman,"[More surprised, clutching the young man's collar.] Can she firebend, too?",1,1,1
Young man,[In awe.] Could she be?,1,1,1
,Scene changes to a side-view of Korra turning the gangster around one time to build up momentum. Close-up of her face as she grunts in effort. Scene broadens as she throws the man through the window of a radio shop. Switch to a shot from inside the shop where the man lies defeated. Korra slowly walks up to him.,1,1,1
Korra,"[Close-up. Chuckling arrogantly, smiling haughtily.] Got an idea about who I am now, chumps?",1,1,1
,"Hearing the roaring engine of the Satomobile, Korra looks to her right. The camera view widens to show how the car comes tearing down the street toward her. Korra moves aside to avoid being run over. The Satomobile pulls over at the radio shop where Two Toed Ping comes stumbling out.",1,1,1
Mushi,[Leaning out the window.] Come on!,1,1,1
,"Two Toed Ping jumps out of the broken window onto the street, and runs after the car in a stumbling fashion. The earthbender gangster extends the part of earth where he was running, causing him to fly inside the Satomobile with a yelp.",1,1,1
Korra,[Starts running after them; determined.] You're not getting away!,1,1,1
